feature,importance_gini
REFUSED_AMT_CREDIT_MAX,0.00010787742110960008
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.0001077842835728918
BURO_CREDIT_TYPE_Microloan_MEAN,0.000107606336867394
INSTAL_PAYMENT_DIFF_SUM,0.0001071578632014046
APPROVED_APP_CREDIT_PERC_VAR,0.00010676954335541416
APPROVED_AMT_CREDIT_MAX,0.0001056910456295768
REFUSED_AMT_GOODS_PRICE_MIN,0.00010405454736059595
REFUSED_AMT_APPLICATION_MAX,0.00010355175988422083
YEARS_BUILD_MEDI,0.00010326157120243152
PREV_AMT_GOODS_PRICE_MEAN,9.954854641089559e-05
APPROVED_AMT_CREDIT_MEAN,9.882003611518855e-05
INSTAL_DAYS_ENTRY_PAYMENT_SUM,9.853440652586117e-05
CLOSED_DAYS_CREDIT_ENDDATE_MAX,9.763058394893306e-05
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,9.666844005803492e-05
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,9.627360856453761e-05
INSTAL_DBD_SUM,9.579608033876527e-05
PREV_APP_CREDIT_PERC_MEAN,9.520637889740294e-05
PREV_AMT_CREDIT_MAX,9.458614460927485e-05
APPROVED_AMT_GOODS_PRICE_MIN,9.190833919953862e-05
BURO_STATUS_X_MEAN_MEAN,9.069715874977617e-05
REFUSED_DAYS_DECISION_MAX,8.797348066289881e-05
PREV_NAME_TYPE_SUITE_Family_MEAN,8.79711048431092e-05
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,8.768984296448595e-05
LANDAREA_AVG,8.700991449035653e-05
ACTIVE_DAYS_CREDIT_MAX,8.636402133972804e-05
INSTAL_AMT_INSTALMENT_MAX,8.629840531730044e-05
ACTIVE_DAYS_CREDIT_VAR,8.59466074330816e-05
LIVINGAPARTMENTS_MEDI,8.5866844346921e-05
PREV_CHANNEL_TYPE_Regional / Local_MEAN,8.580627035095473e-05
POS_NAME_CONTRACT_STATUS_Active_MEAN,8.551003154404538e-05
BURO_AMT_ANNUITY_MEAN,8.514723764158203e-05
APPROVED_APP_CREDIT_PERC_MEAN,8.477403935768932e-05
NAME_INCOME_TYPE_State servant,8.179800678609754e-05
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,8.049609646426023e-05
ORGANIZATION_TYPE_Business Entity Type 2,7.95758759739714e-05
REFUSED_AMT_ANNUITY_MEAN,7.957366622153346e-05
ACTIVE_DAYS_CREDIT_MIN,7.912421344745991e-05
INCOME_PER_PERSON,7.840096003418328e-05
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,7.740160367078679e-05
REFUSED_HOUR_APPR_PROCESS_START_MIN,7.63988471084589e-05
REFUSED_DAYS_DECISION_MIN,7.609839435317575e-05
PREV_AMT_APPLICATION_MAX,7.43568242324709e-05
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,7.349930834653572e-05
INSTAL_DBD_MAX,7.244861156653179e-05
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,7.146678968121474e-05
PREV_AMT_DOWN_PAYMENT_MEAN,7.131553803302067e-05
APPROVED_HOUR_APPR_PROCESS_START_MEAN,7.120629954770157e-05
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,7.1116168458627e-05
INSTAL_COUNT,6.97346845279948e-05
REFUSED_DAYS_DECISION_MEAN,6.895993751120783e-05
INSTAL_DBD_MEAN,6.848422697243628e-05
PREV_DAYS_DECISION_MAX,6.774206969738998e-05
PREV_APP_CREDIT_PERC_VAR,6.743131108277381e-05
APPROVED_HOUR_APPR_PROCESS_START_MIN,6.368607168451926e-05
PREV_NAME_YIELD_GROUP_low_action_MEAN,6.196904823752696e-05
REFUSED_AMT_APPLICATION_MIN,6.188051982679233e-05
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,6.179083158660957e-05
POS_NAME_CONTRACT_STATUS_Completed_MEAN,6.121506447697953e-05
INSTAL_PAYMENT_PERC_VAR,6.108948337215513e-05
PREV_CNT_PAYMENT_MEAN,6.095815246860245e-05
PREV_HOUR_APPR_PROCESS_START_MIN,5.7573907949097273e-05
CLOSED_AMT_CREDIT_SUM_MEAN,5.7566925983012196e-05
PREV_AMT_APPLICATION_MEAN,5.698071432193582e-05
CLOSED_DAYS_CREDIT_VAR,5.6900945145814295e-05
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,5.628822232645349e-05
APPROVED_RATE_DOWN_PAYMENT_MEAN,5.624610504903119e-05
BURO_DAYS_CREDIT_MAX,5.478432452469823e-05
CLOSED_DAYS_CREDIT_MAX,5.339960221617301e-05
INSTAL_AMT_PAYMENT_MAX,5.333968433833821e-05
PREV_DAYS_DECISION_MEAN,5.140393533002815e-05
ACTIVE_AMT_CREDIT_SUM_MEAN,5.118790734143445e-05
PREV_CODE_REJECT_REASON_CLIENT_MEAN,4.882255379709002e-05
INCOME_CREDIT_PERC,4.722633920766649e-05
POS_MONTHS_BALANCE_MEAN,4.6822156388654434e-05
ACTIVE_MONTHS_BALANCE_MIN_MIN,4.6755875832860015e-05
CLOSED_AMT_CREDIT_SUM_SUM,4.6751317971261036e-05
APPROVED_CNT_PAYMENT_MEAN,4.420207822899672e-05
PREV_NAME_TYPE_SUITE_Other_A_MEAN,4.233866500652093e-05
INSTAL_AMT_PAYMENT_MEAN,4.1841920974203484e-05
